Year Won,Category Won,Who Won?,What Show Was It? (Might Be Same as Last)
1967,Best Performance by an Actor in a Featured Role in a Musical,Joel Grey,Cabaret
1967,Best Performance by an Actor in a Featured Role in a Play,Ian Holm,The Homecoming
1967,Best Performance by an Actress in a Featured Role in a Musical,Peg Murray,Cabaret
1967,Best Performance by an Actress in a Featured Role in a Play,Marian Seldes,A Delicate Balance
1967,Best Choreography,Ron Field,Cabaret
1967,Best Costume Design of a Musical,Patricia Zipprodt,Cabaret
1967,Best Direction of a Musical,Harold Prince,Cabaret
1967,Best Direction of a Play,Peter Hall,The Homecoming
1967,Best Musical,Cabaret,Cabaret
1967,Best Original Score,John Kander,Cabaret
1967,Best Original Score,Fred Ebb,Cabaret
1967,Best Play,The Homecoming,The Homecoming
1967,Best Scenic Design of a Musical,Boris Aronson,Cabaret
1968,Best Performance by an Actor in a Leading Role in a Musical,Robert Goulet,The Happy Time
1968,Best Performance by an Actor in a Leading Role in a Play,Martin Balsam,You Know I Can't Hear You When the Water's Running
1968,Best Performance by an Actress in a Leading Role in a Musical,Patricia Routledge,Darling of the Day
1968,Best Performance by an Actress in a Leading Role in a Musical,Leslie Uggams,"Hallelujah, Baby!"
1968,Best Performance by an Actress in a Leading Role in a Play,Zoe Caldwell,The Prime of Miss Jean Brodie
1968,Best Performance by an Actor in a Featured Role in a Musical,Hiram Sherman,"How Now, Dow Jones"
1968,Best Performance by an Actor in a Featured Role in a Play,James Patterson,The Birthday Party
1968,Best Performance by an Actress in a Featured Role in a Musical,Lillian Hayman,"Hallelujah, Baby!"
1968,Best Performance by an Actress in a Featured Role in a Play,Zena Walker,Joe Egg
1968,Best Choreography,Gower Champion,The Happy Time
1968,Best Costume Design of a Play,Desmond Heeley,Rosencrantz and Guildenstern Are Dead
1968,Best Direction of a Musical,Gower Champion,The Happy Time
1968,Best Direction of a Play,Mike Nichols,Plaza Suite
1968,Best Musical,"Hallelujah, Baby!","Hallelujah, Baby!"
1968,Best Original Score,Jule Styne,"Hallelujah, Baby!"
1968,Best Original Score,Betty Comden,"Hallelujah, Baby!"
1968,Best Original Score,Adolph Green,"Hallelujah, Baby!"
1968,Best Play,Rosencrantz and Guildenstern Are Dead,Rosencrantz and Guildenstern Are Dead
1968,Best Producer of a Musical,Albert Selden,"Hallelujah, Baby!"
1968,Best Producer of a Musical,Hal James,"Hallelujah, Baby!"
1968,Best Producer of a Musical,Jane C. Nusbaum,"Hallelujah, Baby!"
1968,Best Producer of a Musical,Harry Rigby,"Hallelujah, Baby!"
1968,Best Producer of a Play,David Merrick Arts Foundation,Rosencrantz and Guildenstern Are Dead
1968,Best Scenic Design of a Play,Desmond Heeley,Rosencrantz and Guildenstern Are Dead
1969,Best Performance by an Actor in a Leading Role in a Musical,Jerry Orbach,"Promises, Promises"
1969,Best Performance by an Actor in a Leading Role in a Play,James Earl Jones,The Great White Hope
1969,Best Performance by an Actress in a Leading Role in a Musical,Angela Lansbury,Dear World
1969,Best Performance by an Actress in a Leading Role in a Play,Julie Harris,Forty Carats
1969,Best Performance by an Actor in a Featured Role in a Musical,Ronald Holgate,1776
1969,Best Performance by an Actor in a Featured Role in a Play,Al Pacino,Does a Tiger Wear a Necktie?
1969,Best Performance by an Actress in a Featured Role in a Musical,Marian Mercer,"Promises, Promises"
1969,Best Performance by an Actress in a Featured Role in a Play,Jane Alexander,The Great White Hope
1969,Best Choreography,Joe Layton,George M!
1969,Best Costume Design of a Musical,Louden Sainthill,Canterbury Tales
1969,Best Direction of a Musical,Peter Hunt,1776
1969,Best Direction of a Play,Peter Dews,Hadrian VII
1969,Best Musical,1776,1776
1969,Best Play,The Great White Hope,The Great White Hope
1969,Best Scenic Design of a Musical,Boris Aronson,Zorba
1970,Best Performance by an Actor in a Leading Role in a Musical,Cleavon Little,Purlie
1970,Best Performance by an Actor in a Leading Role in a Play,Fritz Weaver,Child's Play
1970,Best Performance by an Actress in a Leading Role in a Musical,Lauren Bacall,Applause
1970,Best Performance by an Actress in a Leading Role in a Play,Tammy Grimes,Private Lives - Revival
1970,Best Performance by an Actor in a Featured Role in a Musical,Rene Auberjonois ,Coco
1970,Best Performance by an Actor in a Featured Role in a Play,Ken Howard,Child's Play
1970,Best Performance by an Actress in a Featured Role in a Musical,Melba Moore,Purlie
1970,Best Performance by an Actress in a Featured Role in a Play,Blythe Danner,Butterflies Are Free
1970,Best Choreography,Ron Field,Applause
1970,Best Costume Design of a Musical,Cecil Beaton,Coco
1970,Best Direction of a Musical,Ron Field,Applause
1970,Best Direction of a Play,Joseph Hardy,Child's Play
1970,Best Lighting Design of a Play,Jo Mielziner,Child's Play
1970,Best Musical,Applause,Applause
1970,Best Play,Borstal Boy,Borstal Boy
1970,Best Scenic Design of a Play,Jo Mielziner,Child's Play
1971,Best Performance by an Actor in a Leading Role in a Musical,Hal Linden,The Rothschilds
1971,Best Performance by an Actor in a Leading Role in a Play,Brian Bedford,The School for Wives
1971,Best Performance by an Actress in a Leading Role in a Play,Helen Gallagher,"No, No Nanette - Revival"
1971,Best Performance by an Actress in a Leading Role in a Play,Maureen Stapleton,The Gingerbread Lady
1971,Best Performance by an Actor in a Featured Role in a Musical,Keene Curtis,The Rothschilds
1971,Best Performance by an Actor in a Featured Role in a Play,Paul Sand,Story Theatre
1971,Best Performance by an Actress in a Featured Role in a Musical,Patsy Kelly,"No, No Nanette - Revival"
1971,Best Performance by an Actress in a Featured Role in a Play,Rae Allen,And Miss Reardon Drinks a Little
1971,Best Book of a Musical,George Furth,Company
1971,Best Choreography,Donald Saddler,"No, No, Nanette - Revival"
1971,Best Costume Design of a Musical,Raoul Pene Du Bois,"No, No Nanette - Revival"
1971,Best Direction of a Musical,Harold Prince,Company
1971,Best Direction of a Play,Peter Brook,A Midsummer Night's Dream
1971,Best Lighting Design of a Play,R.H. Poindexter,Story Theatre
1971,Best Musical,Company,Company
1971,Best Original Score,Stephen Sondheim,Company
1971,Best Play,Sleuth,Sleuth
1971,Best Producer of a Musical,Harold Prince,Company
1971,Best Producer of a Play,Helen Bonfils,Sleuth
1971,Best Producer of a Play,Morton Gottlieb,Sleuth
1971,Best Producer of a Play,Michael White,Sleuth
1971,Best Scenic Design of a Musical,Boris Aronson,Boris Aronson
1972,Best Performance by an Actor in a Leading Role in a Musical,Phil Silvers,A Funny Thing Happened on the Way to the Forum - Revival
1972,Best Performance by an Actor in a Leading Role in a Play,Cliff Gorman,Lenny
1972,Best Performance by an Actress in a Leading Role in a Musical,Alexis Smith,Follies
1972,Best Performance by an Actress in a Leading Role in a Play,Sada Thompson,Twigs
1972,Best Performance by an Actor in a Featured Role in a Musical,Larry Blyden,A Funny Thing Happened on the Way to the Forum - Revival
1972,Best Performance by an Actor in a Featured Role in a Play,Vincent Gardenia,The Prisoner of Second Avenue
1972,Best Performance by an Actress in a Featured Role in a Musical,Linda Hopkins,Inner City
1972,Best Performance by an Actress in a Featured Role in a Play,Elizabeth Wilson,Sticks and Bones
1972,Best Book of a Musical,John Guare,Two Gentlemen of Verona
1972,Best Book of a Musical,Mel Shapiro,Two Gentlemen of Verona
1972,Best Choreography,Michael Bennett,Follies
1972,Best Costume Design of a Musical,Florence Klotz,Follies
1972,Best Direction of a Musical,Harold Prince,Follies
1972,Best Direction of a Musical,Michael Bennett,Follies
1972,Best Direction of a Play,Mike Nichols,The Prisoner of Second Avenue
1972,Best Lighting Design of a Musical,Tharon Musser,Follies
1972,Best Musical,Two Gentleman of Verona,Two Gentleman of Verona
1972,Best Original Score,Stephen Sondheim,Follies
1972,Best Play,Sticks and Bones,Sticks and Bones
1972,Best Scenic Design of a Musical,Boris Aronson,Follies
1973,Best Performance by an Actor in a Leading Role in a Musical,Ben Vereen,Pippin
1973,Best Performance by an Actor in a Leading Role in a Play,Alan Bates,Butley
1973,Best Performance by an Actress in a Leading Role in a Musical,Glynis Johns,A Little Night Music
1973,Best Performance by an Actress in a Leading Role in a Play,Julie Harris,The Last of Mrs. Lincoln
1973,Best Performance by an Actor in a Featured Role in a Musical,George S. Irving,Irene
1973,Best Performance by an Actor in a Featured Role in a Play,John Lithgow,The Changing Room
1973,Best Performance by an Actress in a Featured Role in a Musical,Patricia Elliott,A Little Night Music
1973,Best Performance by an Actress in a Featured Role in a Play,Leora Dana,The Last of Mrs. Lincoln
1973,Best Book of a Musical,Hugh Wheeler,A Little Night Music
1973,Best Choreography,Bob Fosse,Pippin
1973,Best Costume Design of a Musical,Florence Klotz,A Little Night Music
1973,Best Direction of a Musical,Bob Fosse,Pippin
1973,Best Direction of a Play,A.J. Antoon,That Championship Season
1973,Best Lighting Design of a Musical,Jules Fisher,Pippin
1973,Best Musical,A Little Night Music,A Little Night Music
1973,Best Original Score,Stephen Sondheim,A Little Night Music
1973,Best Play,That Championship Season,That Championship Season
1973,Best Scenic Design of a Musical,Tony Walton,Pippin
1974,Best Performance by an Actor in a Leading Role in a Musical,Christopher Plummer,Cyrano
1974,Best Performance by an Actor in a Leading Role in a Play,Michael Moriarty,Find Your Way Home
1974,Best Performance by an Actress in a Leading Role in a Musical,Virginia Capers,Raisin
1974,Best Performance by an Actress in a Leading Role in a Play,Colleen Dewhurst,A Moon for the Misbegotten
1974,Best Performance by an Actor in a Featured Role in a Musical,Tommy Tune,Seesaw
1974,Best Performance by an Actor in a Featured Role in a Play,Ed Flanders,A Moon for the Misbegotten
1974,Best Performance by an Actress in a Featured Role in a Musical,Janie Sell,Over Here!
1974,Best Performance by an Actress in a Featured Role in a Play,Frances Sternhagen,The Good Doctor
1974,Best Book of a Musical,Candide,Hugh Wheeler
1974,Best Choreography,Michael Bennett,Seesaw
1974,Best Costume Design of a Musical,Franne Lee,Candide
1974,Best Direction of a Musical,Harold Prince,Candide
1974,Best Direction of a Play,Jose Quintero,A Moon for the Misbegotten
1974,Best Lighting Design of a Play,Jules Fisher,Ulysses in Nighttown
1974,Best Musical,Raisin,Raisin
1974,Best Original Score,Alan Jay Lerner,Gigi
1974,Best Original Score,Frederick Loewe,Gigi
1974,Best Play,The River Niger,The River Niger
1974,Best Scenic Design of a Musical,Franne Lee,Candide
1974,Best Scenic Design of a Musical,Eugene Lee,Candide
1975,Best Performance by an Actor in a Leading Role in a Musical,John Cullum,Shenandoah
1975,Best Performance by an Actor in a Leading Role in a Play,John Kani,Sizwe Banzi is Dead and The Island
1975,Best Performance by an Actor in a Leading Role in a Play,Winston Ntshona,Sizwe Banzi is Dead and The Island
1975,Best Performance by an Actress in a Leading Role in a Musical,Angela Lansbury,Gypsy - Revival
1975,Best Performance by an Actress in a Leading Role in a Play,Ellen Burstyn,"Same Time, Next Year"
1975,Best Performance by an Actor in a Featured Role in a Musical,Ted Ross,The Wiz
1975,Best Performance by an Actor in a Featured Role in a Play,Frank Langella,Seascape
1975,Best Performance by an Actor in a Featured Role in a Musical,Dee Dee Bridgewater,The Wiz
1975,Best Performance by an Actress in a Featured Role in a Play,Rita Moreno,The Ritz
1975,Best Book of a Musical,James Lee Barrett,Shenandoah
1975,Best Book of a Musical,Peter Udell,Shenandoah
1975,Best Book of a Musical,Philip Rose,Shenandoah
1975,Best Choreography,George Faison,The Wiz
1975,Best Costume Design of a Musical,Geoffrey Holder,The Wiz
1975,Best Direction of a Musical,Geoffrey Holder,The Wiz
1975,Best Direction of a Play,John Dexter,Equus
1975,Best Lighting Design of a Play,Neil Peter Jampolis,Sherlock Holmes
1975,Best Musical,The Wiz,The Wiz
1975,Best Original Score,Charlie Smalls,The Wiz
1975,Best Play,Equus,Equus
1975,Best Scenic Design of a Play,Carl Toms,Sherlock Holmes
1976,Best Performance by an Actor in a Leading Role in a Musical,George Rose,My Fair Lady
1976,Best Performance by an Actor in a Leading Role in a Play,John Wood,Travesties
1976,Best Performance by an Actress in a Leading Role in a Musical,Donna McKechnie,A Chorus Line
1976,Best Performance by an Actress in a Leading Role in a Play,Irene Worth,Sweet Bird of Youth
1976,Best Performance by an Actor in a Featured Role in a Musical,Sammy Williams,A Chorus Line
1976,Best Performance by an Actor in a Featured Role in a Play,Edward Herrmann,Mrs. Warren's Profession
1976,Best Performance by an Actress in a Featured Role in a Musical,Carole Bishop,A Chorus Line
1976,Best Performance by an Actress in a Featured Role in a Play,Shirley Knight,Kennedy's Children
1976,Best Book of a Musical,Nicholas Dante,A Chorus Line
1976,Best Book of a Musical,James Kirkwood,A Chorus Line
1976,Best Choreography,Michael Bennett,A Chorus Line
1976,Best Choreography,Bob Avian,A Chorus Line
1976,Best Costume Design of a Musical,Florence Klotz,Pacific Overtures
1976,Best Direction of a Musical,Michael Bennett,A Chorus Line
1976,Best Direction of a Play,Ellis Rabb,The Royal Family
1976,Best Lighting Design of a Musical,Tharon Musser,A Chorus Line
1976,Best Musical,A Chorus Line,A Chorus Line
1976,Best Original Score,Marvin Hamlisch,A Chorus Line
1976,Best Original Score,Edward Kleban,A Chorus Line
1976,Best Play,Travesties,Travesties
1976,Best Scenic Design of a Musical,Boris Aronson,Pacific Overtures
1977,Best Performance by an Actor in a Leading Role in a Musical,Barry Bostwick,The Robber Bridegroom
1977,Best Performance by an Actor in a Leading Role in a Play,Al Pacino,The Basic Training of Pavlo Hummel
1977,Best Performance by an Actress in a Leading Role in a Musical,Dorothy Loudon,Annie
1977,Best Performance by an Actress in a Leading Role in a Play,Julie Harris,The Belle of Amherst
1977,Best Performance by an Actor in a Featured Role in a Musical,Lenny Baker,I Love My Wife
1977,Best Performance by an Actor in a Featured Role in a Play,Jonathan Pryce,Comedians
1977,Best Performance by an Actress in a Featured Role in a Musical,Delores Hall,Your Arm's Too Short to Box With God
1977,Best Performance by an Actress in a Featured Role in a Play,Trazana Beverley,For Colored Girls Who Have Considered Suicide\When the Rainbow is Enuf
1977,Best Book of a Musical,Thomas Meehan,Annie
1977,Best Choreography,Peter Gennaro,Annie
1977,Best Costume Design of a Musical,Theoni V. Aldredge,Annie
1977,Best Costume Design of a Play,Santo Loquasto,The Cherry Orchard
1977,Best Direction of a Musical,Gene Saks,I Love My Wife
1977,Best Direction of a Play,Gordon Davidson,The Shadow Box
1977,Best Lighting Design of a Play,Jennifer Tipton,The Cherry Orchard
1977,Best Musical,Annie,Annie
1977,Best Original Score,Charles Strouse,Annie
1977,Best Original Score,Martin Charnin,Annie
1977,Best Play,The Shadow Box,The Shadow Box
1977,Best Revival of a Musical,Porgy and Bess,Porgy and Bess
1977,Best Scenic Design of a Musical,David Mitchell,Annie
1978,Best Performance by an Actor in a Leading Role in a Musical,John Cullum,On the Twentieth Century
1978,Best Performance by an Actor in a Leading Role in a Play,Barnard Hughes,Da
1978,Best Performance by an Actress in a Leading Role in a Musical,Liza Minnelli,The Act
1978,Best Performance by an Actress in a Leading Role in a Play,Jessica Tandy,The Gin Game
1978,Best Performance by an Actor in a Featured Role in a Musical,Kevin Kline,On the Twentieth Century
1978,Best Performance by an Actor in a Featured Role in a Play,Lester Rawlins,Da
1978,Best Performance by an Actress in a Featured Role in a Musical,Nell Carter,Ain't Misbehavin'
1978,Best Performance by an Actress in a Featured Role in a Play,Ann Wedgeworth,Chapter Two
1978,Best Book of a Musical,Betty Comden,On the Twentieth Century
1978,Best Book of a Musical,Adolph Green,On the Twentieth Century
1978,Best Choreography,Bob Fosse,Dancin'
1978,Best Costume Design of a Play, Edward Gorey,Dracula
1978,Best Direction of a Musical,Richard Maltby Jr.,Ain't Misbehavin'
1978,Best Direction of a Play,Melvin Bernhardt,Da
1978,Best Lighting Design of a Musical,Jules Fisher,Dancin'
1978,Best Musical,Ain't Misbehavin',Ain't Misbehavin'
1978,Best Original Score,Cy Coleman,On the Twentieth Century
1978,Best Original Score,Betty Comden,On the Twentieth Century
1978,Best Original Score,Adolph Green,On the Twentieth Century
1978,Best Play,Da,Da
1978,Best Revival of a Play,Dracula,Dracula
1978,Best Scenic Design of a Musical,Robin Wagner,On the Twentieth Century
1979,Best Performance by an Actor in a Leading Role in a Musical,Len Cariou,Sweeney Todd
1979,Best Performance by an Actor in a Leading Role in a Play,Tom Conti,Who's Life Is It Anyway?
1979,Best Performance by an Actress in a Leading Role in a Musical,Angela Lansbury,Sweeney Todd
1979,Best Performance by an Actress in a Leading Role in a Play,Constance Cummings,Wings
1979,Best Performance by an Actress in a Leading Role in a Play,Carole Shelley,The Elephant Man
1979,Best Performance by an Actor in a Featured Role in a Musical,Henderson Forsythe,The Best Little Whorehouse in Texas
1979,Best Performance by an Actor in a Featured Role in a Play,Michael Gough,Bedroom Farce
1979,Best Performance by an Actress in a Featured Role in a Musical,Carlin Glynn,The Best Little Whorehouse in Texas
1979,Best Performance by an Actress in a Featured Role in a Play,Joan Hickson,Bedroom Farce
1979,Best Book of a Musical,Hugh Wheeler,Sweeney Todd
1979,Best Choreography,Michael Bennett,Ballroom
1979,Best Choreography,Bob Avian,Ballroom
1979,Best Costume Design of a Musical,Franne Lee,Sweeney Todd
1979,Best Direction of a Musical,Harold Prince,Sweeney Todd
1979,Best Direction of a Play,Jack Hofsiss,The Elephant Man
1979,Best Lighting Design of a Play,Roger Morgan,The Crucifer of Blood
1979,Best Musical,Sweeney Todd,Sweeney Todd
1979,Best Original Score,Stephen Sondheim,Sweeney Todd
1979,Best Play,The Elephant Man,The Elephant Man
1979,Best Scenic Design of a Musical,Eugene Lee,Sweeney Todd
1980,Best Performance by an Actor in a Leading Role in a Musical,Jim Dale,Barnum
1980,Best Performance by an Actor in a Leading Role in a Play,John Rubinstein,Children of a Lesser God
1980,Best Performance by an Actress in a Leading Role in a Musical,Patti LuPone,Evita
1980,Best Performance by an Actress in a Leading Role in a Play,Phyllis Frelich,Children of a Lesser God
1980,Best Performance by an Actor in a Featured Role in a Musical,Mandy Patinkin,Evita
1980,Best Performance by an Actor in a Featured Role in a Play,David Rounds,Morning's at Seven
1980,Best Performance by an Actress in a Featured Role in a Musical,Priscilla Lopez,A Day in Hollywood\A Night in the Ukraine
1980,Best Performance by an Actress in a Featured Role in a Play,Dinah Manoff,I Ought to be in Pictures
1980,Best Book of a Musical,Tim Rice,Evita
1980,Best Choreography,Thommie Walsh,A Day in Hollywood\A Night in the Ukraine
1980,Best Choreography,Tommy Tune,A Day in Hollywood\A Night in the Ukraine
1980,Best Costume Design of a Musical,Theoni V. Aldredge,Barnum
1980,Best Direction of a Musical,Harold Prince,Evita
1980,Best Direction of a Play,Vivian Matalon,Morning's at Seven
1980,Best Lighting Design of a Musical,David Hersey,Evita
1980,Best Musical,Evita,Evita
1980,Best Original Score,Andrew Lloyd Webber,Evita
1980,Best Original Score,Tim Rice,Evita
1980,Best Play,Children of a Lesser God,Children of a Lesser God
1980,Best Revival of a Play,Morning's at Seven,Morning's at Seven
1980,Best Scenic Design of a Play,John Lee Beatty,Talley's Folly
1980,Best Scenic Design of a Musical,David Mitchell,Barnum
1981,Best Performance by an Actor in a Leading Role in a Musical,Kevin Kline,The Pirates of Penzance
1981,Best Performance by an Actor in a Leading Role in a Play,Ian Mckellan,Amadeus
1981,Best Performance by an Actress in a Leading Role in a Musical,Lauren Bacall,Woman of the Year
1981,Best Performance by an Actress in a Leading Role in a Play,Jane Lapotaire,Piaf
1981,Best Performance by an Actor in a Featured Role in a Musical,Hinton Battle,Sophisticated Ladies
1981,Best Performance by an Actor in a Featured Role in a Play,Brian Backer,The Floating Light Bulb
1981,Best Performance by an Actress in a Featured Role in a Musical,Marilyn Cooper,Woman of the Year
1981,Best Performance by an Actress in a Featured Role in a Play,Swoosie Kurtz,Fifth of July
1981,Best Book of a Musical,Woman of the Year,Peter Stone
1981,Best Choreography,Gower Champion,42nd Street
1981,Best Costume Design of a Musical,Willa Kim,Sophisticated Ladies
1981,Best Direction of a Musical,Wilford Leach,The Pirates of Penzance
1981,Best Direction of a Play,Peter Hall,Amadeus
1981,Best Lighting Design of a Musical,John Bury,Amadeus
1981,Best Musical,42nd Street,42nd Street
1981,Best Original Score,John Kander,Woman of the Year
1981,Best Original Score,Fred Ebb,Woman of the Year
1981,Best Play,Amadeus,Amadeus
1981,Best Revival of a Musical,The Pirates of Penzance,The Pirates of Penzance
1981,Best Scenic Design of a Play,John Bury,Amadeus
1982,Best Performance by an Actor in a Leading Role in a Musical,Ben Harney,Dreamgirls
1982,Best Performance by an Actor in a Leading Role in a Play,Roger Rees,The Life and Adventures of Nicholas Nickleby
1982,Best Performance by an Actress in a Leading Role in a Musical,Jennifer Holliday,Dreamgirls
1982,Best Performance by an Actress in a Leading Role in a Play,Zoe Caldwell,Medea
1982,Best Performance by an Actor in a Featured Role in a Musical,Cleavant Derricks,Dreamgirls
1982,Best Performance by an Actor in a Featured Role in a Play,Zakes Mokae,Master Harold...and the Boys
1982,Best Performance by an Actress in a Featured Role in a Musical,Liliane Montevecchi,Nine
1982,Best Performance by an Actress in a Featured Role in a Play,Amanda Plummer,Agnes of God
1982,Best Book of a Musical,Tom Eyen,Dreamgirls
1982,Best Choreography,Michael Bennett,Dreamgirls
1982,Best Choreography,Michael Peters,Dreamgirls
1982,Best Costume Design of a Musical,William Ivey Long,Nine
1982,Best Direction of a Musical,Tommy Tune,Nine
1982,Best Direction of a Play,Trevor Nunn,The Life and Adventures of Nicholas Nickleby
1982,Best Direction of a Play,John Caird,The Life and Adventures of Nicholas Nickleby
1982,Best Lighting Design of a Musical,Tharon Musser,Dreamgirls
1982,Best Musical,Nine,Nine
1982,Best Original Score,Maury Yeston,Nine
1982,Best Play,The Life and Adventures of Nicholas Nickleby,The Life and Adventures of Nicholas Nickleby
1982,Best Revival of a Play,Othello,Othello
1982,Best Scenic Design of a Play,John Napier,The Life and Adventures of Nicholas Nickleby
1982,Best Scenic Design of a Play,Dermot Hayes,The Life and Adventures of Nicholas Nickleby
1983,Best Performance by an Actor in a Leading Role in a Musical,Tommy Tune,My One and Only
1983,Best Performance by an Actor in a Leading Role in a Play,Harvey Fierstein,Torch Song Trilogy
1983,Best Performance by an Actress in a Leading Role in a Musical,Natalia Makarova,On Your Toes
1983,Best Performance by an Actress in a Leading Role in a Play,Jessica Tandy,Foxfire
1983,Best Performance by an Actor in a Featured Role in a Musical,Charles Honi Coles,My One and Only
1983,Best Performance by an Actor in a Featured Role in a Play,Matthew Broderick,Brighton Beach Memoirs
1983,Best Performance by an Actress in a Leading Role in a Musical,Betty Buckley,Cats
1983,Best Performance by an Actress in a Featured Role in a Play,Judith Ivey,Steaming
1983,Best Book of a Musical,T.S. Eliot,Cats
1983,Best Choreography,Tommy Tune,My One and Only
1983,Best Choreography,Thommie Walsh,My One and Only
1983,Best Costume Design of a Musical,John Napier,Cats
1983,Best Direction of a Musical,Trevor Nunn,Cats
1983,Best Direction of a Play,Gene Saks,Brighton Beach Memoirs
1983,Best Lighting Design of a Musical,David Hersey,Cats
1983,Best Musical,Cats,Cats
1983,Best Original Score,T.S Eliot,Cats
1983,Best Original Score,Andrew Lloyd Webber,Cats
1983,Best Play,Torch Song Trilogy,Torch Song Trilogy
1983,Best Revival of a Musical,On Your Toes,On Your Toes
1983,Best Scenic Design of a Play,Ming Cho Lee,K2
1984,Best Performance by an Actor in a Leading Role in a Musical,George Hearn,La Cage aux Folles
1984,Best Performance by an Actor in a Leading Role in a Play,Jeremy Irons,The Real Thing
1984,Best Performance by an Actress in a Leading Role in a Musical,Chita Rivera,The Rink
1984,Best Performance by an Actress in a Leading Role in a Play,Glenn Close,The Real Thing
1984,Best Performance by an Actor in a Featured Role in a Musical,Hinton Battle,The Tap Dance Kid
1984,Best Performance by an Actor in a Featured Role in a Play,Joe Mantegna,Glengarry Glen Ross
1984,Best Performance by an Actress in a Featured Role in a Musical,Lila Kedrova,Zorba
1984,Best Performance by an Actress in a Featured Role in a Play,Christine Baranski,The Real Thing
1984,Best Book of a Musical,Harvey Fierstein,La Cage aux Folles
1984,Best Choreography,Danny Daniels,The Tap Dance Kid
1984,Best Costume Design of a Musical,Theoni V. Aldredge,La Cage aux Folles
1984,Best Direction of a Musical,Arthur Laurents,La Cage aux Folles
1984,Best Direction of a Play,Mike Nichols,The Real Thing
1984,Best Lighting Design of a Musical,Richard Nelson,Sunday in the Park with George
1984,Best Musical,La Cage aux Folles,La Cage aux Folles
1984,Best Original Score,Jerry Herman,La Cage aux Folles
1984,Best Play,The Real Thing,The Real Thing
1984,Best Revival of a Play,Death of a Salesman,Death of a Salesman
1984,Best Scenic Design of a Musical,Tony Straiges,Sunday in the Park with George
1985,Best Performance by an Actor in a Leading Role in a Play,Derek Jacobi,Much Ado About Nothing
1985,Best Performance by an Actress in a Leading Role in a Play,Stockard Channing,Joe Egg
1985,Best Performance by an Actor in a Featured Role in a Musical,Ron Richardson,Big River
1985,Best Performance by an Actor in a Featured Role in a Play,Barry Miller,Biloxi Blues
1985,Best Performance by an Actress in a Featured Role in a Musical,Leilani Jones,Grind
1985,Best Performance by an Actress in a Featured Role in a Play,Judith Ivery,Hurlyburly
1985,Best Book of a Musical,William Hauptman,Big River
1985,Best Costume Design of a Musical,Florence Klotz,Grind
1985,Best Direction of a Musical,Des McAnuff,Big River
1985,Best Direction of a Play,Gene Saks,Biloxi Blues
1985,Best Lighting Design of a Musical,Richard Riddell,Big River
1985,Best Musical,Big River,Big River
1985,Best Original Score,Roger Miller,Big River
1985,Best Play,Biloxi Blues,Biloxi Blues
1985,Best Revival of a Play,Joe Egg,Joe Egg
1985,Best Scenic Design of a Musical,Heidi Landesman,Big River
1986,Best Performance by an Actor in a Leading Role in a Musical,George Rose,The Mystery of Edwin Drood
1986,Best Performance by an Actor in a Leading Role in a Play,Judd Hirsch,I'm Not Rappaport
1986,Best Performance by an Actress in a Leading Role in a Musical,Bernadette Peters,Song & Dance
1986,Best Performance by an Actress in a Leading Role in a Play,Lily Tomlin,The Search for Signs of Intelligent Life in the Universe
1986,Best Performance by an Actor in a Featured Role in a Musical,Michael Rupert,Sweet Charity
1986,Best Performance by an Actor in a Featured Role in a Play,John Mahoney,The House of Blue Leaves
1986,Best Performance by an Actress in a Featured Role in a Musical,Bebe Neuwirth,Sweet Charity
1986,Best Performance by an Actress in a Featured Role in a Play,Swoosie Kurtz,The House of Blue Leaves
1986,Best Book of a Musical,Rupert Holmes,The Mystery of Edwin Drood
1986,Best Choreography,Bob Fosse,Big Deal
1986,Best Costume Design of a Musical,Patricia Zipprodt,Sweet Charity
1986,Best Direction of a Musical,Wilford Leach,The Mystery of Edwin Drood
1986,Best Direction of a Play,Jerry Zaks,The House of Blue Leaves
1986,Best Lighting Design of a Play,Pat Collins,I'm Not Rappaport
1986,Best Musical,The Mystery of Edwin Drood,The Mystery of Edwin Drood
1986,Best Original Score,Rupert Holmes,The Mystery of Edwin Drood
1986,Best Play,I'm Not Rappaport,I'm Not Rappaport
1986,Best Revival of a Musical,Sweet Charity,Sweet Charity
1986,Best Scenic Design of a Play,Tony Walton,The House of Blue Leaves
1987,Best Performance by an Actor in a Leading Role in a Musical,Robert Lindsay,Me and My Girl
1987,Best Performance by an Actor in a Leading Role in a Play,James Earl Jones,Fences
1987,Best Performance by an Actress in a Leading Role in a Musical,Maryann Plunkett,Me and My Girl
1987,Best Performance by an Actress in a Leading Role in a Play,Linda Lavin,Broadway Bound
1987,Best Performance by an Actor in a Featured Role in a Musical,Michael Maguire,Les Miserables
1987,Best Performance by an Actor in a Featured Role in a Play,John Randolph,Broadway Bound
1987,Best Performance by an Actress in a Featured Role in a Musical,Frances Ruffelle,Les Miserables
1987,Best Performance by an Actress in a Featured Role in a Play,Mary Alice,Fences
1987,Best Book of a Musical,Alain Boublil,Les Miserables
1987,Best Book of a Musical,Claude-Michel Schonberg,Les Miserables
1987,Best Choreography,Gillian Gregory,Me and My Girl
1987,Best Costume Design of a Musical,John Napier,Starlight Express
1987,Best Direction of a Musical,Trevor Nunn,Les Miserables
1987,Best Direction of a Musical,John Caird,Les Miserables
